log start @ 2021-08-16 00:53:48
cpu core 8
RAND_MAX 32767
market.ethusdt.kline.5min kline_start_time 1509465600 full_kline_len 379296 training_start 271584 training_end 376704
training_ma_cross @ 2020-06-01 00:00:00 365.0 day
thread 0 training rand 152143 2019-05-13 06:35:00 profit 0.974
thread 0 training rand 172844 2019-07-24 03:40:00 profit 1.044
thread 0 training rand 184929 2019-09-04 02:45:00 profit 0.997
thread 0 training rand 231897 2020-02-14 04:45:00 profit 1.014
thread 0 training rand 251630 2020-04-22 17:10:00 profit 0.918
thread 0 training rand 4833 2017-12-17 18:45:00 profit 1.468
thread 0 training rand 31115 2018-03-19 00:55:00 profit 1.110
thread 0 training rand 56881 2018-06-16 12:05:00 profit 0.853
thread 0 training rand 81900 2018-09-11 09:00:00 profit 1.105
thread 0 training rand 127188 2019-02-15 15:00:00 profit 1.198
thread 0 training rand 140535 2019-04-02 23:15:00 profit 0.766
thread 0 training rand 170703 2019-07-16 17:15:00 profit 1.036
thread 0 training rand 185153 2019-09-04 21:25:00 profit 0.973
thread 0 training rand 214520 2019-12-15 20:40:00 profit 1.110
thread 0 training rand 257475 2020-05-13 00:15:00 profit 0.909
thread 0 training rand 5021 2017-12-18 10:25:00 profit 0.698
thread 0 training rand 28745 2018-03-10 19:25:00 profit 0.972
thread 0 training rand 53045 2018-06-03 04:25:00 profit 1.006
thread 0 training rand 97435 2018-11-04 07:35:00 profit 1.057
thread 0 training rand 110754 2018-12-20 13:30:00 profit 1.545
thread 0 training rand 136434 2019-03-19 17:30:00 profit 1.011
thread 0 training rand 157382 2019-05-31 11:10:00 profit 0.975
thread 0 training rand 198420 2019-10-20 23:00:00 profit 0.854
thread 0 training rand 214065 2019-12-14 06:45:00 profit 0.969
thread 0 training rand 251601 2020-04-22 14:45:00 profit 0.922
thread 0 training rand 23986 2018-02-22 06:50:00 profit 0.966
thread 0 training rand 39411 2018-04-16 20:15:00 profit 1.235
thread 0 training rand 61403 2018-07-02 04:55:00 profit 0.974
thread 0 training rand 96999 2018-11-02 19:15:00 profit 0.878
