log start @ 2021-08-07 12:29:02
cpu core 16
kline_start_time 1509465600 kline_total_len 1896480 test_start 1893600 test_end 1896480
thread 0 fast 1 slow 13 time 94ms
thread 0 better profit  time 94ms
thread 0 better profit 1.1781 fast 1 slow 13 open 0.000 close 0.010
thread 1 fast 1 slow 11 time 94ms
thread 1 better profit 1.1963 fast 1 slow 11 open 0.000 close 0.008
thread 5 fast 1 slow 15 time 94ms
thread 7 fast 1 slow 3 time 94ms
thread 4 fast 1 slow 9 time 109ms
thread 6 fast 1 slow 5 time 109ms
thread 2 fast 1 slow 7 time 109ms
thread 3 fast 1 slow 21 time 93ms
thread 0 fast 1 slow 19 time 109ms
thread 1 fast 1 slow 23 time 109ms
thread 4 fast 1 slow 29 time 94ms
thread 5 fast 1 slow 25 time 125ms
thread 6 fast 1 slow 31 time 110ms
thread 7 fast 1 slow 27 time 125ms
thread 2 fast 1 slow 33 time 110ms
thread 3 fast 1 slow 35 time 110ms
thread 0 fast 1 slow 37 time 94ms
thread 1 fast 1 slow 39 time 94ms
thread 6 fast 1 slow 45 time 93ms
thread 6 fast 1 slow 45 time 93ms
thread 5 fast 1 slow 43 time 93ms
thread 2 fast 1 slow 49 time 109ms
thread 7 fast 1 slow 47 time 109ms
thread 0 fast 1 slow 53 time 94ms
thread 4 fast 1 slow 57 time 94ms
thread 3 fast 1 slow 51 time 109ms
thread 7 fast 3 slow 8 time 94ms
thread 1 fast 1 slow 55 time 125ms
thread 2 fast 3 slow 6 time 94ms
thread 6 fast 1 slow 59 time 110ms
thread 5 fast 3 slow 4 time 125ms
thread 4 fast 3 slow 12 time 94ms
thread 0 fast 3 slow 10 time 109ms
thread 1 fast 3 slow 18 time 94ms
thread 2 fast 3 slow 20 time 94ms
thread 3 fast 3 slow 14 time 125ms
thread 7 fast 3 slow 16 time 109ms
thread 6 fast 3 slow 22 time 109ms
thread 5 fast 3 slow 24 time 94ms
thread 4 fast 3 slow 26 time 94ms
thread 2 fast 3 slow 32 time 93ms
thread 3 fast 3 slow 34 time 94ms
thread 0 fast 3 slow 28 time 125ms
thread 6 fast 3 slow 38 time 94ms
thread 1 fast 3 slow 30 time 109ms
thread 7 fast 3 slow 36 time 94ms
thread 5 fast 3 slow 40 time 110ms
thread 4 fast 3 slow 42 time 125ms
thread 2 fast 3 slow 44 time 110ms
thread 3 fast 3 slow 46 time 109ms
thread 0 fast 3 slow 48 time 109ms
thread 7 fast 3 slow 54 time 125ms
thread 1 fast 3 slow 52 time 125ms
thread 5 fast 3 slow 56 time 109ms
thread 6 fast 3 slow 50 time 125ms
thread 4 fast 3 slow 58 time 109ms
thread 2 fast 5 slow 7 time 125ms
thread 7 fast 5 slow 13 time 94ms
thread 0 fast 5 slow 11 time 110ms
thread 3 fast 5 slow 9 time 110ms
thread 5 fast 5 slow 17 time 109ms
thread 1 fast 5 slow 15 time 109ms
thread 6 fast 5 slow 19 time 109ms
thread 4 fast 5 slow 21 time 94ms
thread 3 fast 5 slow 29 time 93ms
thread 7 fast 5 slow 25 time 93ms
thread 2 fast 5 slow 23 time 93ms
thread 0 fast 5 slow 27 time 93ms
thread 6 fast 5 slow 35 time 94ms
thread 1 fast 5 slow 33 time 94ms
thread 5 fast 5 slow 31 time 94ms
thread 4 fast 5 slow 37 time 78ms
thread 3 fast 5 slow 39 time 79ms
thread 2 fast 5 slow 43 time 94ms
thread 0 fast 5 slow 45 time 94ms
thread 6 fast 5 slow 47 time 78ms
thread 1 fast 5 slow 49 time 94ms
thread 7 fast 5 slow 41 time 110ms
thread 5 fast 5 slow 51 time 109ms
thread 4 fast 5 slow 53 time 94ms
thread 3 fast 5 slow 55 time 93ms
thread 7 fast 7 slow 14 time 78ms
thread 2 fast 5 slow 57 time 94ms
thread 6 fast 7 slow 10 time 110ms
thread 0 fast 5 slow 59 time 110ms
thread 1 fast 7 slow 12 time 94ms
thread 5 fast 7 slow 16 time 79ms
thread 4 fast 7 slow 18 time 93ms
thread 3 fast 7 slow 20 time 78ms
thread 0 fast 7 slow 28 time 78ms
thread 2 fast 7 slow 24 time 94ms
thread 7 fast 7 slow 22 time 94ms
thread 6 fast 7 slow 26 time 78ms
thread 1 fast 7 slow 30 time 78ms
thread 5 fast 7 slow 32 time 93ms
thread 3 fast 7 slow 36 time 79ms
thread 4 fast 7 slow 34 time 94ms
thread 0 fast 7 slow 38 time 78ms
thread 2 fast 7 slow 40 time 78ms
thread 7 fast 7 slow 42 time 78ms
thread 6 fast 7 slow 44 time 93ms
thread 1 fast 7 slow 46 time 93ms
thread 5 fast 7 slow 48 time 78ms
thread 3 fast 7 slow 50 time 93ms
thread 4 fast 7 slow 52 time 94ms
thread 0 fast 7 slow 54 time 78ms
thread 7 fast 7 slow 58 time 94ms
thread 2 fast 7 slow 56 time 94ms
thread 1 fast 9 slow 15 time 94ms
thread 6 fast 9 slow 13 time 94ms
thread 5 fast 9 slow 17 time 94ms
thread 3 fast 9 slow 19 time 94ms
thread 0 fast 9 slow 23 time 94ms
thread 7 fast 9 slow 25 time 78ms
thread 4 fast 9 slow 21 time 109ms
thread 6 fast 9 slow 31 time 78ms
thread 1 fast 9 slow 29 time 78ms
thread 2 fast 9 slow 27 time 109ms
thread 5 fast 9 slow 33 time 94ms
thread 3 fast 9 slow 35 time 78ms
thread 7 fast 9 slow 39 time 78ms
thread 4 fast 9 slow 41 time 78ms
thread 1 fast 9 slow 45 time 78ms
thread 0 fast 9 slow 37 time 93ms
thread 6 fast 9 slow 43 time 78ms
thread 2 fast 9 slow 47 time 78ms
thread 5 fast 9 slow 49 time 94ms
thread 3 fast 9 slow 51 time 94ms
thread 7 fast 9 slow 53 time 94ms
thread 1 fast 9 slow 57 time 79ms
thread 4 fast 9 slow 55 time 79ms
thread 0 fast 9 slow 59 time 94ms
thread 6 fast 11 slow 16 time 94ms
thread 2 fast 11 slow 18 time 94ms
thread 5 fast 11 slow 20 time 93ms
thread 1 fast 11 slow 26 time 78ms
thread 3 fast 11 slow 22 time 94ms
thread 7 fast 11 slow 24 time 93ms
thread 0 fast 11 slow 30 time 78ms
thread 4 fast 11 slow 28 time 93ms
thread 6 fast 11 slow 32 time 110ms
thread 2 fast 11 slow 34 time 94ms
thread 5 fast 11 slow 36 time 110ms
thread 1 fast 11 slow 38 time 93ms
thread 0 fast 11 slow 44 time 78ms
thread 3 fast 11 slow 40 time 93ms
thread 7 fast 11 slow 42 time 78ms
thread 4 fast 11 slow 46 time 110ms
thread 2 fast 11 slow 50 time 78ms
thread 6 fast 11 slow 48 time 93ms
thread 5 fast 11 slow 52 time 62ms
thread 5 better profit 1.2008 fast 11 slow 52 open 0.000 close 0.018
thread 3 fast 11 slow 58 time 79ms
thread 1 fast 11 slow 54 time 79ms
thread 0 fast 11 slow 56 time 94ms
thread 7 fast 13 slow 19 time 94ms
thread 2 fast 13 slow 23 time 78ms
thread 6 fast 13 slow 25 time 94ms
thread 5 fast 13 slow 27 time 94ms
thread 4 fast 13 slow 21 time 109ms
thread 3 fast 13 slow 29 time 93ms
thread 0 fast 13 slow 33 time 94ms
thread 1 fast 13 slow 31 time 109ms
thread 2 fast 13 slow 37 time 94ms
thread 7 fast 13 slow 35 time 110ms
thread 6 fast 13 slow 39 time 94ms
thread 4 fast 13 slow 43 time 94ms
thread 5 fast 13 slow 41 time 109ms
thread 3 fast 13 slow 45 time 78ms
thread 0 fast 13 slow 47 time 78ms
thread 1 fast 13 slow 49 time 78ms
thread 2 fast 13 slow 51 time 78ms
thread 7 fast 13 slow 53 time 109ms
thread 5 fast 13 slow 59 time 63ms
thread 4 fast 13 slow 57 time 78ms
thread 6 fast 13 slow 55 time 78ms
thread 1 fast 15 slow 26 time 78ms
thread 1 fast 15 slow 26 time 78ms
thread 0 fast 15 slow 24 time 94ms
thread 2 fast 15 slow 28 time 93ms
thread 4 fast 15 slow 34 time 78ms
thread 6 fast 15 slow 36 time 94ms
thread 5 fast 15 slow 32 time 94ms
thread 7 fast 15 slow 30 time 109ms
thread 3 fast 15 slow 38 time 78ms
thread 1 fast 15 slow 40 time 94ms
thread 0 fast 15 slow 42 time 78ms
thread 0 better profit 1.2319 fast 15 slow 42 open 0.004 close 0.010
thread 2 fast 15 slow 44 time 94ms
thread 4 fast 15 slow 46 time 78ms
thread 5 fast 15 slow 50 time 78ms
thread 6 fast 15 slow 48 time 109ms
thread 1 fast 15 slow 56 time 78ms
thread 3 fast 15 slow 54 time 94ms
thread 7 fast 15 slow 52 time 94ms
thread 0 fast 15 slow 58 time 78ms
thread 2 fast 17 slow 25 time 78ms
thread 4 fast 17 slow 27 time 94ms
thread 5 fast 17 slow 29 time 109ms
thread 1 fast 17 slow 33 time 78ms
thread 3 fast 17 slow 35 time 94ms
thread 7 fast 17 slow 37 time 94ms
thread 6 fast 17 slow 31 time 94ms
thread 2 fast 17 slow 41 time 78ms
thread 0 fast 17 slow 39 time 93ms
thread 0 better profit 1.2383 fast 17 slow 39 open 0.000 close 0.008
thread 4 fast 17 slow 43 time 78ms
thread 5 fast 17 slow 45 time 78ms
thread 3 fast 17 slow 49 time 62ms
thread 1 fast 17 slow 47 time 78ms
thread 6 fast 17 slow 53 time 78ms
thread 7 fast 17 slow 51 time 94ms
thread 2 fast 17 slow 55 time 79ms
thread 0 fast 17 slow 57 time 94ms
thread 4 fast 17 slow 59 time 93ms
thread 3 fast 19 slow 30 time 78ms
thread 1 fast 19 slow 32 time 78ms
thread 5 fast 19 slow 28 time 94ms
thread 7 fast 19 slow 36 time 78ms
thread 6 fast 19 slow 34 time 109ms
thread 0 fast 19 slow 40 time 94ms
thread 2 fast 19 slow 38 time 109ms
thread 4 fast 19 slow 42 time 79ms
thread 1 fast 19 slow 46 time 79ms
thread 3 fast 19 slow 44 time 79ms
thread 5 fast 19 slow 48 time 94ms
thread 7 fast 19 slow 50 time 93ms
thread 2 fast 19 slow 56 time 62ms
thread 6 fast 19 slow 52 time 94ms
thread 0 fast 19 slow 54 time 94ms
thread 3 fast 21 slow 33 time 63ms
thread 4 fast 19 slow 58 time 78ms
thread 1 fast 21 slow 31 time 93ms
thread 7 fast 21 slow 37 time 63ms
thread 5 fast 21 slow 35 time 94ms
thread 2 fast 21 slow 39 time 94ms
thread 6 fast 21 slow 41 time 94ms
thread 4 fast 21 slow 47 time 93ms
thread 0 fast 21 slow 43 time 93ms
thread 1 fast 21 slow 49 time 78ms
thread 3 fast 21 slow 45 time 109ms
thread 7 fast 21 slow 51 time 94ms
thread 2 fast 21 slow 55 time 78ms
thread 5 fast 21 slow 53 time 93ms
thread 6 fast 21 slow 57 time 78ms
thread 4 fast 21 slow 59 time 79ms
thread 0 fast 23 slow 34 time 94ms
thread 1 fast 23 slow 36 time 94ms
thread 3 fast 23 slow 38 time 94ms
thread 7 fast 23 slow 40 time 78ms
thread 2 fast 23 slow 42 time 94ms
thread 6 fast 23 slow 46 time 94ms
thread 5 fast 23 slow 44 time 94ms
thread 0 fast 23 slow 50 time 78ms
thread 4 fast 23 slow 48 time 109ms
thread 1 fast 23 slow 52 time 94ms
thread 3 fast 23 slow 54 time 94ms
thread 7 fast 23 slow 56 time 94ms
thread 6 fast 25 slow 37 time 78ms
thread 2 fast 23 slow 58 time 109ms
thread 0 fast 25 slow 41 time 78ms
thread 5 fast 25 slow 39 time 93ms
thread 1 fast 25 slow 45 time 78ms
thread 4 fast 25 slow 43 time 94ms
thread 3 fast 25 slow 47 time 78ms
thread 7 fast 25 slow 49 time 93ms
thread 6 fast 25 slow 51 time 78ms
thread 5 fast 25 slow 57 time 79ms
thread 2 fast 25 slow 53 time 79ms
thread 1 fast 25 slow 59 time 78ms
thread 0 fast 25 slow 55 time 94ms
thread 4 fast 27 slow 40 time 78ms
thread 3 fast 27 slow 42 time 93ms
thread 6 fast 27 slow 46 time 78ms
thread 7 fast 27 slow 44 time 94ms
thread 7 better profit 1.2385 fast 27 slow 44 open 0.000 close 0.004
thread 2 fast 27 slow 50 time 78ms
thread 5 fast 27 slow 48 time 93ms
thread 0 fast 27 slow 54 time 78ms
thread 1 fast 27 slow 52 time 94ms
thread 3 fast 27 slow 58 time 79ms
thread 6 fast 29 slow 43 time 78ms
thread 4 fast 27 slow 56 time 109ms
thread 7 fast 29 slow 45 time 94ms
thread 2 fast 29 slow 47 time 93ms
thread 5 fast 29 slow 49 time 78ms
thread 1 fast 29 slow 53 time 62ms
thread 0 fast 29 slow 51 time 94ms
thread 3 fast 29 slow 55 time 78ms
thread 4 fast 29 slow 59 time 78ms
thread 6 fast 29 slow 57 time 78ms
best strategy : fast 27 slow 44 open 0.000 close 0.004 profit 1.2385
start @ 2021-08-07 12:29:03
end   @ 2021-08-07 12:29:07
cost 4s 00:00:04
